name,twitter,domain,type,FirstName,LastName
ø_™ƒø± ø_™‹™ƒ™‹ø_™ƒ,Omar_Almulhem,,celebrity,ø_™ƒø±,ø_™‹™ƒ™‹ø_™ƒ
 bethany mota äš_ ,BethanyMota,youtube.com,celebrity,,bethany
thiago alcantara,Thiago6,thiagoalcantara6.com,celebrity,thiago,alcantara
carlos penavega,TheCarlosPena,lexlos.com,celebrity,carlos,penavega
alfredo flores,AlfredoFlores,,celebrity,alfredo,flores
jack gilinsky,jackgilinsky,apple.co,celebrity,jack,gilinsky
carole samaha,CAROLE_SAMAHA,,celebrity,carole,samaha
tony robbins,TonyRobbins,tonyrobbins.com,celebrity,tony,robbins
carolina cruz osorio,carocruzosorio,,celebrity,carolina,cruz
gary valenciano,GaryValenciano1,garyv.com,celebrity,gary,valenciano
kendra wilkinson,KendraWilkinson,,celebrity,kendra,wilkinson
the next brandy,4everBrandy,,celebrity,the,next
gordon ramsay,GordonRamsay,gordonramsay.com,celebrity,gordon,ramsay
chris gayle,henrygayle,,celebrity,chris,gayle
joseph s blatter,SeppBlatter,,celebrity,joseph,s
"tyler, the creator",fucktyler,golfwang.com,celebrity,"tyler,",the
kenan doÛôulu,kenandogulu,,celebrity,kenan,doÛôulu
rory mcilroy,McIlroyRory,rorymcilroy.com,celebrity,rory,mcilroy
_ñ_Áãó_Ÿ__ _«_Áãó_é_Á______,Garik2000,,celebrity,_ñ_Áãó_Ÿ__,_«_Áãó_é_Á______
gisella anastasia,gisel_la,,celebrity,gisella,anastasia
paul walker,RealPaulWalker,paulwalkerfoundation.org,celebrity,paul,walker
yasser.s.alqahtani,YASSER_Q_Y20,alqanas.com.sa,celebrity,yasser.s.alqahtani,
farruko,FarrukoPR,smarturl.it,celebrity,farruko,
jhong hilario,jhongsample,,celebrity,jhong,hilario
dr. angelo carbone,drangelocarbone,drangelocarbone.wordpress.com,celebrity,dr.,angelo
flor de la ve,Flordelav,WWW.FLORDELAVE.COM,celebrity,flor,de
ian mckellen,IanMcKellen,McKellen.com,celebrity,ian,mckellen
xian lim,XianLimm,xianlimm.com,celebrity,xian,lim
samir nasri official,SamNasri19,,celebrity,samir,nasri
zaira nara,zairana,zairanara.com,celebrity,zaira,nara
deepak chopra,DeepakChopra,deepakchopra.com,celebrity,deepak,chopra
larry king,kingsthings,ora.tv,celebrity,larry,king
anggun official,Anggun_Cipta,anggun.com,celebrity,anggun,official
ice cube,icecube,icecube.com,celebrity,ice,cube
lara dutta bhupathi,LaraDutta,mylaradutta.com,celebrity,lara,dutta
david lynch,DAVID_LYNCH,davidlynch.com,celebrity,david,lynch
alejandra azcírate,LAAZCARATE,,celebrity,alejandra,azcírate
jeremy piven,jeremypiven,imdb.com,celebrity,jeremy,piven
fifth harmony,FifthHarmony,smarturl.it,celebrity,fifth,harmony
felicia day,feliciaday,feliciaday.com,celebrity,felicia,day
shraddha kapoor,ShraddhaKapoor,,celebrity,shraddha,kapoor
#øÈø±™€™__ø_™‹ø¿ø¬™_™‹,TurkiAldakhil,alarabiya.net,celebrity,#øÈø±™€™__ø_™‹ø¿ø¬™_™‹,
biz stone,biz,jelly.co,celebrity,biz,stone
oscar d' leon,OscarDLeon,youtube.com,celebrity,oscar,d'
tom daley,TomDaley1994,tomdaley.tv,celebrity,tom,daley
chris colfer,chriscolfer,thelandofstories.com,celebrity,chris,colfer
ashley cole,TheRealAC3,,celebrity,ashley,cole
chris jericho,IAmJericho,chris-jericho.org,celebrity,chris,jericho
jack johnson,JackJackJohnson,itun.es,celebrity,jack,johnson
dani bolina,Dbolina,,celebrity,dani,bolina
joey graceffa,JoeyGraceffa,youtube.com,celebrity,joey,graceffa
joe sugg,Joe_Sugg,,celebrity,joe,sugg
kate del castillo,katedelcastillo,katedelcastillo.us,celebrity,kate,del
Î_‚__£_©,masason,softbank.co.jp,celebrity,Î_‚__£_©,
aaron paul,aaronpaul_8,slashfilm.com,celebrity,aaron,paul
manny pacquiao,MannyPacquiaoTR,,celebrity,manny,pacquiao
lauren london,MsLaurenLondon,,celebrity,lauren,london
paul mccartney,PaulMcCartney,PaulMcCartney.com,celebrity,paul,mccartney
ross lynch,rossR5,R5rocks.com,celebrity,ross,lynch
mandy moore,TheMandyMoore,,celebrity,mandy,moore
adam lambert,adamlambert,adamofficial.com,celebrity,adam,lambert
anand mahindra,anandmahindra,mahindra.com,celebrity,anand,mahindra
bill nye,BillNye,billnyebooks.com,celebrity,bill,nye
ä»_ àÇ¾ôàÇó àÇó¾ô–ñàÇó¾óàÇˆs ä»_¥_ôhkj,OlaAlfares,nashamahkj.org,celebrity,ä»_,àÇ¾ôàÇó
soimah,showimah,,celebrity,soimah,
greyson chance,greysonchance,greyson-official.com,celebrity,greyson,chance
jim gaffigan,JimGaffigan,jimgaffigan.com,celebrity,jim,gaffigan
denise richards,DENISE_RICHARDS,deniserichards.com,celebrity,denise,richards
stephen a smith,stephenasmith,stephena.com,celebrity,stephen,a
richard hammond,RichardHammond,thehamsterscage.co.uk,celebrity,richard,hammond
risto mejide,ristomejide,ristomejide.com,celebrity,risto,mejide
iqbaaldhiafakhri-idr,iqbaale,,celebrity,iqbaaldhiafakhri-idr,
davina mccall,ThisisDavina,thisisdavina.com,celebrity,davina,mccall
david ospina,D_Ospina1,,celebrity,david,ospina
emre aydÛ±n,emreaydin,emreaydin.org,celebrity,emre,aydÛ±n
raphaí‚l varane,raphaelvarane,raphael-varane.net,celebrity,raphaí‚l,varane
j alvarez flow,JAlvarezFlow,youtu.be,celebrity,j,alvarez
christian bautista,xtianbautista,christianbautistaonline.com,celebrity,christian,bautista
carter reynolds,carterreynolds,youtube.com,celebrity,carter,reynolds
kyrie irving,KyrieIrving,,celebrity,kyrie,irving
yosri fouda,YosriFouda,YosriFouda.com,celebrity,yosri,fouda
ruffa gutierrez,iloveruffag,iloveruffag.com,celebrity,ruffa,gutierrez
äÖ¥Ÿ_jc,jccaylen,kianandjctour.com,celebrity,äÖ¥Ÿ_jc,
shy'm,shymofficiel,shymofficiel.com,celebrity,shy'm,
anthony bourdain,Bourdain,,celebrity,anthony,bourdain
rachel zoe,RachelZoe,thezoereport.com,celebrity,rachel,zoe
dj khaled,djkhaled,,celebrity,dj,khaled
angelica vale,angelicavale,,celebrity,angelica,vale
jason segel,jasonsegel,,celebrity,jason,segel
andhika pratama,dhikacungkring,,celebrity,andhika,pratama
robbie williams,robbiewilliams,robbiewilliams.com,celebrity,robbie,williams
james may,MrJamesMay,,celebrity,james,may
zaheer khan,ImZaheer,zaheerkhans.com,celebrity,zaheer,khan
lottie tomlinson,lottietommo,lottietomlinson.com,celebrity,lottie,tomlinson
jackson harries,JackHarries,jacksgap.com,celebrity,jackson,harries
wanda icardi,wandaicardi,,celebrity,wanda,icardi
kendall schmidt,HeffronDrive,itun.es,celebrity,kendall,schmidt
karylletatlonghari,anakarylle,ph.omg.yahoo.com,celebrity,karylletatlonghari,
el moreno michael,elmorenomichael,elmorenomichael.tv,celebrity,el,moreno
jeremy bieber,JeremyBieber,shots.me,celebrity,jeremy,bieber
nathan kress,NathanKress,imdb.com,celebrity,nathan,kress
hardwell,HARDWELL,,celebrity,hardwell,
charlotte crosby,Charlottegshore,officialcharlottecrosby.com,celebrity,charlotte,crosby
sarah sechan,sarseh,,celebrity,sarah,sechan
hadise acikgoz,Hadise,twist.com.tr,celebrity,hadise,acikgoz
sidharth malhotra,S1dharthM,,celebrity,sidharth,malhotra
cyril hanouna,Cyrilhanouna,teamhanouna.com,celebrity,cyril,hanouna
tom hiddleston,twhiddleston,,celebrity,tom,hiddleston
rajinikanth,superstarrajini,,celebrity,rajinikanth,
maníç,manaoficial,mana.com.mx,celebrity,maníç,
coach,CMPunk,cmpunk.com,celebrity,coach,
marcus butler,MarcusButler,youtube.com,celebrity,marcus,butler
ÎÁÎ_† _»_ì,kojiharunyan,,celebrity,ÎÁÎ_†,_»_ì
andrí©s cepeda,andrescepeda,andrescepeda.com.co,celebrity,andrí©s,cepeda
patton oswalt,pattonoswalt,pattonoswalt.com,celebrity,patton,oswalt
triple h,TripleH,,celebrity,triple,h
jodi sta.maria,JodiStaMaria,,celebrity,jodi,sta.maria
sebastian rulli,sebastianrulli,rullinaticasworld.blogspot.com.es,celebrity,sebastian,rulli
carlos baute,carlosbaute,carlosbauteoficial.com,celebrity,carlos,baute
audrina patridge,AudrinaPatridge,audrinapatridge.com,celebrity,audrina,patridge
danna paola,dannapaola,,celebrity,danna,paola
siyovush dustov,siyovushdustov,siyovushdustov.com,celebrity,siyovush,dustov
katt williams,KattPackAllDay,,celebrity,katt,williams
ø¬ø_™‹ø¿ ø_™‹øÇ™Ê™_™,k_alshenaif,,celebrity,ø¬ø_™‹ø¿,ø_™‹øÇ™Ê™_™
pepe,officialpepe,,celebrity,pepe,
levent íìzí_mcí_,LeventUzumcu,leventuzumcu.com,celebrity,levent,íìzí_mcí_
lady antebellum,ladyantebellum,ladyantebellum.com,celebrity,lady,antebellum
nx zero,nxzerooficial,nxzero.com.br,celebrity,nx,zero
shane warne,ShaneWarne,shanewarne.com,celebrity,shane,warne
ø_ø¿™Êø_™Ê ø_™‹ø_ø±ø_™šø±,AdnanAlarour,islamwasat.com,celebrity,ø_ø¿™Êø_™Ê,ø_™‹ø_ø±ø_™šø±
dynamo,Dynamomagician,,celebrity,dynamo,
booba,booba,,celebrity,booba,
mustafa hosny,MustafaHosny,mustafahosny.com,celebrity,mustafa,hosny
french montana,FrencHMonTanA,frenchmontanamusic.com,celebrity,french,montana
keith urban,KeithUrban,keithurban.net,celebrity,keith,urban
xuxa.com,xuxameneghel,xuxa.com,celebrity,xuxa.com,
ismael cala,cala,ismaelcala.com,celebrity,ismael,cala
¿æîÁ__é_ˆëÎ_,mariko_dayo,mariko-shinoda.net,celebrity,¿æîÁ__é_ˆëÎ_,
dani martí_nez,danimartinezweb,danimartinez.es,celebrity,dani,martí_nez
najwa shihab,NajwaShihab,,celebrity,najwa,shihab
adal ramones,AdalRamones,,celebrity,adal,ramones
ferry yolanda f,Ferrynimous,soundcloud.com,celebrity,ferry,yolanda
belal fadl,belalfadl,,celebrity,belal,fadl
giovani dos santos,OficialGio,oficialgio.com,celebrity,giovani,dos
mike vick,MikeVick,fanduel.com,celebrity,mike,vick
marco reus,woodyinho,marcoreus.de,celebrity,marco,reus
bob saget,bobsaget,bobsaget.com,celebrity,bob,saget
tom felton,TomFelton,,celebrity,tom,felton
sharon osbourne,MrsSOsbourne,sharonosbourne.com,celebrity,sharon,osbourne
martin garrix,MartinGarrix,martingarrix.com,celebrity,martin,garrix
steve nash,SteveNash,,celebrity,steve,nash
ananda omesh,omeshomesh,anomindonesia.com,celebrity,ananda,omesh
jota quest oficial,jotaquest,jotaquest.com.br,celebrity,jota,quest
maria shriver,mariashriver,mariashriver.com,celebrity,maria,shriver
thomas mí_ller,esmuellert_,es-muellert-wieder.de,celebrity,thomas,mí_ller
al ghazali kohler,AlKohler7KEPO,,celebrity,al,ghazali
yusuf mansur,Yusuf_Mansur,yusufmansur.com,celebrity,yusuf,mansur
vincent kompany,VincentKompany,,celebrity,vincent,kompany
willie robertson,williebosshog,,celebrity,willie,robertson
stromae,Stromae,stromae.net,celebrity,stromae,
neil gaiman,neilhimself,neilgaiman.com,celebrity,neil,gaiman
moez masoud,MoezMasoud,,celebrity,moez,masoud
david spade,DavidSpade,,celebrity,david,spade
paula abdul,PaulaAbdul,PaulaAbdul.com,celebrity,paula,abdul
daniel bryan,WWEDanielBryan,,celebrity,daniel,bryan
derrick rose,drose,drosehoops.com,celebrity,derrick,rose
fabio coentrao,Fabio_Coentrao,,celebrity,fabio,coentrao
ayse ozyilmazel,ayseozyilmazel,ayseozyilmazel.net,celebrity,ayse,ozyilmazel
fernando alonso,alo_oficial,fernandoalonso.com,celebrity,fernando,alonso
rebel wilson,RebelWilson,,celebrity,rebel,wilson
michael bublí©,michaelbuble,michaelbuble.com,celebrity,michael,bublí©
robi domingo,robertmarion,,celebrity,robi,domingo
bonno van der putten,bonnovanderputt,,celebrity,bonno,van
_ahan gí_kbakar,sgokbakar,,celebrity,_ahan,gí_kbakar
anthony padilla,smoshanthony,SMOSHTheMovie.com,celebrity,anthony,padilla
luke brooks,luke_brooks,m.youtube.com,celebrity,luke,brooks
depeche mode,depechemode,depechemode.com,celebrity,depeche,mode
amy schumer,amyschumer,amyschumer.com,celebrity,amy,schumer
craig ferguson,CraigyFerg,,celebrity,craig,ferguson
fatin shidqia lubis,FatinSL,fatinsl.com,celebrity,fatin,shidqia
_ì_Ÿãƒ_Á_Ÿ_é _„_Á_Ç__ãó______,mnzadornov,youtube.com,celebrity,_ì_Ÿãƒ_Á_Ÿ_é,_„_Á_Ç__ãó______
ayushmann khurrana,ayushmannk,ayushmannk.tumblr.com,celebrity,ayushmann,khurrana
birdman,BIRDMAN5STAR,stunnalife.com,celebrity,birdman,
dani suzuki,danisuzuki,danisuzuki.com.br,celebrity,dani,suzuki
kylie minogue,kylieminogue,Kylie.com,celebrity,kylie,minogue
zedd,Zedd,smarturl.it,celebrity,zedd,
troian,SleepintheGardn,katuriankaturiankaturian.tumblr.com,celebrity,troian,
juicy j,therealjuicyj,thejuicyj.com,celebrity,juicy,j
manu gavassi,manugavassi,manugavassi.com.br,celebrity,manu,gavassi
seu jorge,soujorge,seujorge.com,celebrity,seu,jorge
