name,twitter,domain,type,FirstName,LastName
channing tatum,channingtatum,channingtatumunwrapped.com,celebrity,channing,tatum
robin van persie,Persie_Official,robinvanpersie.com,celebrity,robin,van
sonam kapoor,sonamakapoor,,celebrity,sonam,kapoor
cody simpson,CodySimpson,radi.al,celebrity,cody,simpson
luis fonsi ,LuisFonsi,luisfonsi.com,celebrity,luis,fonsi
marco luque,marcoluque,youtube.com,celebrity,marco,luque
david luiz,DavidLuiz_4,,celebrity,david,luiz
gareth bale,GarethBale11,,celebrity,gareth,bale
john cena,JohnCena,,celebrity,john,cena
eugenio derbez,EugenioDerbez,eugenioderbez.tv,celebrity,eugenio,derbez
j. cole,JColeNC,dreamvillain.net,celebrity,j.,cole
elissa,elissakh,elissalb.com,celebrity,elissa,
miranda cosgrove,MirandaCosgrove,,celebrity,miranda,cosgrove
john legend,johnlegend,johnlegend.com,celebrity,john,legend
eva longoria,EvaLongoria,jcp.is,celebrity,eva,longoria
ø_™‹™ƒø_™Ê ø_™‹ø_™šø¿ø©,salman_alodah,youtube.com,celebrity,ø_™‹™ƒø_™Ê,ø_™‹ø_™šø¿ø©
karan johar,karanjohar,,celebrity,karan,johar
david villa,Guaje7Villa,davidvilla7.com,celebrity,david,villa
cher lloyd,CherLloyd,,celebrity,cher,lloyd
jessica simpson,JessicaSimpson,jessicasimpson.com,celebrity,jessica,simpson
nancy ajram,NancyAjram,youtu.be,celebrity,nancy,ajram
anderson silva,SpiderAnderson,spidersilva.com,celebrity,anderson,silva
ricardo montaner,montanertwiter,,celebrity,ricardo,montaner
little mix,LittleMix,little-mix.com,celebrity,little,mix
carmelo anthony,carmeloanthony,THISISMELO.com,celebrity,carmelo,anthony
sarah silverman,SarahKSilverman,youtube.com,celebrity,sarah,silverman
shaandaar kapoor,shahidkapoor,,celebrity,shaandaar,kapoor
t-raww,Tyga,itun.es,celebrity,t-raww,
roberto g. bolaí±os,ChespiritoRGB,,celebrity,roberto,g.
nicole polizzi,snooki,thesnookishop.com,celebrity,nicole,polizzi
marcelo tinelli,cuervotinelli,,celebrity,marcelo,tinelli
angel locsin,143redangel,angellocsin.com.ph,celebrity,angel,locsin
queen latifah,IAMQUEENLATIFAH,queenlatifah.com,celebrity,queen,latifah
zooey deschanel,ZooeyDeschanel,sheandhim.com,celebrity,zooey,deschanel
pegg news,simonpegg,simonpegg.net,celebrity,pegg,news
raffi ahmad,RaffiAhmadLagi,raffinagita.id,celebrity,raffi,ahmad
ne-yo,NeYoCompound,,celebrity,ne-yo,
calvin harris,CalvinHarris,,celebrity,calvin,harris
richard branson,richardbranson,virgin.com,celebrity,richard,branson
ciara,ciara,smarturl.it,celebrity,ciara,
steve martin,SteveMartinToGo,stevemartin.com,celebrity,steve,martin
olly murs,ollyofficial,smarturl.it,celebrity,olly,murs
daniel alves,DaniAlvesD2,danialves.com,celebrity,daniel,alves
kelendria rowland,KELLYROWLAND,KellyRowland.com,celebrity,kelendria,rowland
fearne cotton,Fearnecotton,officialfearnecotton.com,celebrity,fearne,cotton
rio ferdinand,rioferdy5,5mag.co,celebrity,rio,ferdinand
floyd mayweather,FloydMayweather,themoneyteam.com,celebrity,floyd,mayweather
luke hemmings,Luke5SOS,,celebrity,luke,hemmings
shireen sungkar,shireensungkar,shireen-sungkar.tumblr.com,celebrity,shireen,sungkar
jessica iskandar,jedarcantik,jessicaiskandar.com,celebrity,jessica,iskandar
