id,user,fullname,timestamp,url,likes,replies,retweets,text,html
78,realDonaldTrump,Donald J. Trump,8/6/18 14:13,/realDonaldTrump/status/1026471244949061632,86855,24373,25228,"���Collusion with Russia was very real. Hillary Clinton and her team 100% colluded with the Russians, and so did Adam Schiff who is on tape trying to collude with what he thought was Russians to obtain compromising material on DJT. We also know that Hillary Clinton paid through....","<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">���Collusion with Russia was very real. Hillary Clinton and her team 100% colluded with the Russians, and so did Adam Schiff who is on tape trying to collude with what he thought was Russians to obtain compromising material on DJT. We also know that Hillary Clinton paid through....</p>"
79,realDonaldTrump,Donald J. Trump,8/5/18 1:43,/realDonaldTrump/status/1025920076279627776,63171,16671,15186,"...Danny O�۪Connor is a total puppet for Nancy Pelosi and Maxine Waters ��� Danny wants to raise your taxes, open your borders, and take away your 2nd Amendment. Vote for Troy on Tuesday!","<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">...Danny O�۪Connor is a total puppet for Nancy Pelosi and Maxine Waters ��� Danny wants to raise your taxes, open your borders, and take away your 2nd Amendment. Vote for Troy on Tuesday!</p>"
80,realDonaldTrump,Donald J. Trump,8/5/18 1:43,/realDonaldTrump/status/1025920073159110657,78763,8016,16500,"A great night in Ohio�۪s 12th Congressional District with Troy Balderson! Troy loves Ohio, and he loves the people of Ohio. He will be fighting for you all the way...","<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">A great night in Ohio�۪s 12th Congressional District with Troy Balderson! Troy loves Ohio, and he loves the people of Ohio. He will be fighting for you all the way...</p>"
81,realDonaldTrump,Donald J. Trump,8/5/18 20:01,/realDonaldTrump/status/1026196465696350208,135771,44534,29308,"Presidential Approval numbers are very good - strong economy, military and just about everything else. Better numbers than Obama at this point, by far. We are winning on just about every front and for that reason there will not be a Blue Wave, but there might be a Red Wave!","<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Presidential Approval numbers are very good - strong economy, military and just about everything else. Better numbers than Obama at this point, by far. We are winning on just about every front and for that reason there will not be a Blue Wave, but there might be a Red Wave!</p>"
82,realDonaldTrump,Donald J. Trump,8/5/18 12:49,/realDonaldTrump/status/1026087766071947265,93401,33580,22165,Too bad a large portion of the Media refuses to report the lies and corruption having to do with the Rigged Witch Hunt - but that is why we call them FAKE NEWS!,"<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Too bad a large portion of the Media refuses to report the lies and corruption having to do with the Rigged Witch Hunt - but that is why we call them FAKE NEWS!</p>"
83,realDonaldTrump,Donald J. Trump,8/5/18 12:45,/realDonaldTrump/status/1026086905539174400,104243,24630,26498,"...Why aren�۪t Mueller and the 17 Angry Democrats looking at the meetings concerning the Fake Dossier and all of the lying that went on in the FBI and DOJ? This is the most one sided Witch Hunt in the history of our country. Fortunately, the facts are all coming out, and fast!","<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">...Why aren�۪t Mueller and the 17 Angry Democrats looking at the meetings concerning the Fake Dossier and all of the lying that went on in the FBI and DOJ? This is the most one sided Witch Hunt in the history of our country. Fortunately, the facts are all coming out, and fast!</p>"
84,realDonaldTrump,Donald J. Trump,8/5/18 12:35,/realDonaldTrump/status/1026084333315153924,83341,61740,20631,"Fake News reporting, a complete fabrication, that I am concerned about the meeting my wonderful son, Donald, had in Trump Tower. This was a meeting to get information on an opponent, totally legal and done all the time in politics - and it went nowhere. I did not know about it!","<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Fake News reporting, a complete fabrication, that I am concerned about the meeting my wonderful son, Donald, had in Trump Tower. This was a meeting to get information on an opponent, totally legal and done all the time in politics - and it went nowhere. I did not know about it!</p>"
85,realDonaldTrump,Donald J. Trump,8/5/18 12:06,/realDonaldTrump/status/1026076959980302336,81847,17964,19799,"..Because of Tariffs we will be able to start paying down large amounts of the $21 Trillion in debt that has been accumulated, much by the Obama Administration, while at the same time reducing taxes for our people. At minimum, we will make much better Trade Deals for our country!","<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">..Because of Tariffs we will be able to start paying down large amounts of the $21 Trillion in debt that has been accumulated, much by the Obama Administration, while at the same time reducing taxes for our people. At minimum, we will make much better Trade Deals for our country!</p>"
86,realDonaldTrump,Donald J. Trump,8/5/18 11:59,/realDonaldTrump/status/1026075214227165185,75140,9281,16612,"Tariffs are working big time. Every country on earth wants to take wealth out of the U.S., always to our detriment. I say, as they come,Tax them. If they don�۪t want to be taxed, let them make or build the product in the U.S. In either event, it means jobs and great wealth.....","<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Tariffs are working big time. Every country on earth wants to take wealth out of the U.S., always to our detriment. I say, as they come,Tax them. If they don�۪t want to be taxed, let them make or build the product in the U.S. In either event, it means jobs and great wealth.....</p>"
87,realDonaldTrump,Donald J. Trump,8/5/18 11:38,/realDonaldTrump/status/1026069857589227520,124900,55651,33755,The Fake News hates me saying that they are the Enemy of the People only because they know it�۪s TRUE. I am providing a great service by explaining this to the American People. They purposely cause great division & distrust. They can also cause War! They are very dangerous & sick!,"<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">The Fake News hates me saying that they are the Enemy of the People only because they know it�۪s TRUE. I am providing a great service by explaining this to the American People. They purposely cause great division &amp; distrust. They can also cause War! They are very dangerous &amp; sick!</p>"
88,realDonaldTrump,Donald J. Trump,8/5/18 1:43,/realDonaldTrump/status/1025920076279627776,63171,16671,15186,"...Danny O�۪Connor is a total puppet for Nancy Pelosi and Maxine Waters ��� Danny wants to raise your taxes, open your borders, and take away your 2nd Amendment. Vote for Troy on Tuesday!","<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">...Danny O�۪Connor is a total puppet for Nancy Pelosi and Maxine Waters ��� Danny wants to raise your taxes, open your borders, and take away your 2nd Amendment. Vote for Troy on Tuesday!</p>"
89,realDonaldTrump,Donald J. Trump,8/5/18 1:43,/realDonaldTrump/status/1025920073159110657,78763,8016,16500,"A great night in Ohio�۪s 12th Congressional District with Troy Balderson! Troy loves Ohio, and he loves the people of Ohio. He will be fighting for you all the way...","<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">A great night in Ohio�۪s 12th Congressional District with Troy Balderson! Troy loves Ohio, and he loves the people of Ohio. He will be fighting for you all the way...</p>"
90,realDonaldTrump,Donald J. Trump,8/5/18 0:28,/realDonaldTrump/status/1025901304047198209,61465,9251,13952,Thank you Ohio. I love you!https://www.pscp.tv/w/bjY7PzFvTlFsTFJub1dwUXd8MVlwS2tMQVpPT1BHarONofqoQ8cpp9SNZ_rTraoZrP1YqkrkeystkLB7mZoH?t=3s�ʉ�_,"<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Thank you Ohio. I love you!<a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://www.pscp.tv/w/bjY7PzFvTlFsTFJub1dwUXd8MVlwS2tMQVpPT1BHarONofqoQ8cpp9SNZ_rTraoZrP1YqkrkeystkLB7mZoH?t=3s"" dir=""ltr"" href=""https://t.co/HYSaQOB6GW"" rel=""nofollow noopener"" target=""_blank"" title=""https://www.pscp.tv/w/bjY7PzFvTlFsTFJub1dwUXd8MVlwS2tMQVpPT1BHarONofqoQ8cpp9SNZ_rTraoZrP1YqkrkeystkLB7mZoH?t=3s""><span class=""tco-ellipsis""></span><span class=""invisible"">https://www.</span><span class=""js-display-url"">pscp.tv/w/bjY7PzFvTlFs</span><span class=""invisible"">TFJub1dwUXd8MVlwS2tMQVpPT1BHarONofqoQ8cpp9SNZ_rTraoZrP1YqkrkeystkLB7mZoH?t=3s</span><span class=""tco-ellipsis""><span class=""invisible"">��</span>��_</span></a></p>"
91,realDonaldTrump,Donald J. Trump,8/4/18 13:02,/realDonaldTrump/status/1025728712560594946,76527,17487,20016,"Troy Balderson, running for Congress from Ohio, is in a big Election fight with a candidate who just got caught lying about his relationship with Nancy Pelosi, who is weak on Crime, Borders & your 2nd Amendment-and wants to raise your Taxes (by a lot). Vote for Troy on Tuesday!","<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Troy Balderson, running for Congress from Ohio, is in a big Election fight with a candidate who just got caught lying about his relationship with Nancy Pelosi, who is weak on Crime, Borders &amp; your 2nd Amendment-and wants to raise your Taxes (by a lot). Vote for Troy on Tuesday!</p>"
92,realDonaldTrump,Donald J. Trump,8/4/18 20:53,/realDonaldTrump/status/1025847254660403201,87336,16085,18666,"Iran, and it�۪s economy, is going very bad, and fast! I will meet, or not meet, it doesn�۪t matter - it is up to them!","<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Iran, and it�۪s economy, is going very bad, and fast! I will meet, or not meet, it doesn�۪t matter - it is up to them!</p>"
93,realDonaldTrump,Donald J. Trump,8/4/18 20:28,/realDonaldTrump/status/1025840837358432256,64620,12891,9131,Heading to Ohio!,"<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Heading to Ohio!</p>"
94,realDonaldTrump,Donald J. Trump,8/4/18 20:03,/realDonaldTrump/status/1025834673736482817,69563,8625,16603,"....China, which is for the first time doing poorly against us, is spending a fortune on ads and P.R. trying to convince and scare our politicians to fight me on Tariffs- because they are really hurting their economy. Likewise other countries. We are Winning, but must be strong!","<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">....China, which is for the first time doing poorly against us, is spending a fortune on ads and P.R. trying to convince and scare our politicians to fight me on Tariffs- because they are really hurting their economy. Likewise other countries. We are Winning, but must be strong!</p>"
95,realDonaldTrump,Donald J. Trump,8/4/18 19:58,/realDonaldTrump/status/1025833273191264256,80988,13493,17915,"....Tariffs will make our country much richer than it is today. Only fools would disagree. We are using them to negotiate fair trade deals and, if countries are still unwilling to negotiate, they will pay us vast sums of money in the form of Tariffs. We win either way......","<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">....Tariffs will make our country much richer than it is today. Only fools would disagree. We are using them to negotiate fair trade deals and, if countries are still unwilling to negotiate, they will pay us vast sums of money in the form of Tariffs. We win either way......</p>"
96,realDonaldTrump,Donald J. Trump,8/4/18 19:53,/realDonaldTrump/status/1025832084521119745,61180,8053,13800,"....Tariffs have had a tremendous positive impact on our Steel Industry. Plants are opening all over the U.S., Steelworkers are working again, and big dollars are flowing into our Treasury. Other countries use Tariffs against, but when we use them, foolish people scream!","<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">....Tariffs have had a tremendous positive impact on our Steel Industry. Plants are opening all over the U.S., Steelworkers are working again, and big dollars are flowing into our Treasury. Other countries use Tariffs against, but when we use them, foolish people scream!</p>"
97,realDonaldTrump,Donald J. Trump,8/4/18 19:47,/realDonaldTrump/status/1025830647649247232,86496,10230,20148,"Tariffs are working far better than anyone ever anticipated. China market has dropped 27% in last 4months, and they are talking to us. Our market is stronger than ever, and will go up dramatically when these horrible Trade Deals are successfully renegotiated. America First.......","<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Tariffs are working far better than anyone ever anticipated. China market has dropped 27% in last 4months, and they are talking to us. Our market is stronger than ever, and will go up dramatically when these horrible Trade Deals are successfully renegotiated. America First.......</p>"
